iter	Passed	Remaining
180	398	1801
181	399	1794
182	400	1787
183	401	1780
184	402	1773
185	403	1766
186	404	1759
187	405	1753
188	407	1746
189	408	1739
190	409	1733
191	410	1727
192	411	1720
193	412	1713
194	413	1707
195	414	1702
196	415	1695
197	417	1689
198	418	1682
199	419	1676
200	420	1670
201	421	1664
202	422	1659
203	423	1653
204	425	1648
205	426	1642
206	427	1637
207	428	1631
208	430	1628
209	431	1622
210	432	1617
211	433	1611
212	434	1605
213	435	1599
214	436	1594
215	437	1589
216	438	1583
217	439	1577
218	440	1572
219	442	1567
220	443	1562
221	444	1557
222	445	1553
223	447	1549
224	448	1543
225	449	1538
226	450	1533
227	451	1528
228	452	1523
229	453	1518
230	455	1514
231	456	1510
232	457	1505
233	458	1500
234	459	1495
235	460	1491
236	462	1487
237	463	1482
238	464	1477
239	465	1473
240	466	1468
241	467	1464
242	468	1459
243	469	1454
244	470	1449
245	471	1446
246	472	1441
247	473	1437
248	475	1432
249	476	1428
250	477	1423
251	478	1419
252	479	1415
253	480	1411
254	481	1407
255	482	1403
256	484	1400
257	486	1398
258	487	1395
259	489	1392
260	516	1462
261	519	1463
262	521	1460
263	522	1455
264	523	1451
265	524	1447
266	525	1443
267	526	1439
268	528	1434
269	529	1430
270	530	1426
271	531	1422
272	532	1417
273	533	1413
274	534	1410
275	536	1406
276	537	1403
277	539	1400
278	540	1396
279	542	1394
280	543	1390
281	544	1386
282	545	1382
283	546	1378
284	547	1374
285	549	1370
286	550	1366
287	551	1362
288	552	1358
289	553	1354
290	554	1350
291	555	1346
292	556	1342
293	557	1338
294	558	1334
295	559	1330
296	560	1325
297	561	1321
298	562	1317
299	563	1313
300	564	1310
301	565	1306
302	566	1303
303	567	1299
304	568	1295
305	569	1291
306	570	1288
307	571	1284
308	572	1280
309	573	1276
310	574	1273
311	575	1269
312	576	1265
313	577	1262
314	578	1258
315	579	1255
316	580	1251
317	581	1248
318	583	1244
319	584	1241
320	585	1237
321	586	1233
322	587	1230
323	588	1227
324	589	1223
325	590	1220
326	591	1216
327	592	1213
328	593	1210
329	594	1206
330	595	1203
331	596	1199
332	597	1196
333	598	1192
334	599	1189
335	600	1186
336	601	1182
337	602	1179
338	603	1176
339	604	1173
340	605	1170
341	606	1166
342	607	1163
343	608	1160
344	609	1157
345	610	1154
346	611	1151
347	612	1147
348	613	1144
349	614	1141
350	615	1138
351	616	1135
352	617	1132
353	618	1129
354	619	1126
355	620	1123
356	621	1120
357	622	1117
358	624	1114
359	625	1111
360	626	1108
361	627	1105
362	628	1102
363	629	1099
364	630	1096
365	631	1093
366	632	1090
367	633	1087
368	634	1085
369	635	1082
370	636	1079
371	637	1076
372	638	1073
373	639	1070
374	640	1067
375	641	1065
376	642	1062
377	643	1059
378	645	1056
379	646	1054
380	647	1051
381	648	1049
382	649	1046
383	650	1043
384	651	1041
385	652	1038
386	653	1035
387	654	1032
388	655	1030
389	656	1027
390	658	1024
391	658	1022
392	660	1019
393	661	1017
394	662	1014
395	663	1011
396	664	1009
397	665	1006
398	666	1004
399	667	1001
400	668	998
401	669	996
402	670	993
403	671	991
404	672	988
405	673	985
406	674	983
407	675	980
408	676	978
409	677	975
410	678	972
411	680	970
412	681	968
413	682	965
414	683	962
415	683	960
416	684	957
417	685	955
418	687	952
419	688	950
420	689	948
421	690	945
422	691	943
423	692	941
424	693	938
425	694	936
426	695	933
427	696	931
428	697	928
429	698	926
430	700	924
431	701	922
432	702	919
433	703	917
434	704	914
435	705	912
436	706	910
437	707	907
438	708	905
439	709	903
440	710	900
441	711	898
442	712	895
443	713	893
444	714	891
445	715	889
446	716	886
447	717	884
448	718	882
449	719	879
450	720	877
451	721	875
452	722	872
453	723	870
454	724	868
455	726	866
456	727	863
457	728	861
458	729	859
459	730	857
460	731	855
461	732	852
462	733	850
463	734	848
